[22-Dec-2020 23:32:54 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE) in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 6
[22-Dec-2020 23:33:27 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE) in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 6
[22-Dec-2020 23:34:00 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE) in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 6
[22-Dec-2020 23:34:35 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE) in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 6
[22-Dec-2020 23:34:35 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE) in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 6
[22-Dec-2020 23:34:36 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE) in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 6
[22-Dec-2020 23:34:38 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE) in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 6
[22-Dec-2020 23:35:19 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE) in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 6
[22-Dec-2020 23:35:58 UTC] PHP Parse error:  syntax error, unexpected '$wpdb' (T_VARIABLE) in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 6
[23-Dec-2020 22:02:20 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 13
[23-Dec-2020 22:02:22 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ')' in /var/www/owenpalmer.com/htdocs/wp-content/plugins/owen-plugin/takestuff.php on line 13
[30-Dec-2020 22:17:13 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 22:18:22 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 22:18:42 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 22:19:14 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 22:19:17 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 22:24:34 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 22:24:35 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 22:24:38 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 22:28:33 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 22:42:06 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[30-Dec-2020 23:35:43 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[31-Dec-2020 16:12:49 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
[31-Dec-2020 16:14:44 UTC] Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9010 (through xdebug.client_host/xdebug.client_port) :-(
